股票名稱,上市日,募集價格,掛牌當天最低,掛盤後一個月最低
00940元大台灣價值高息,2024/4/1,10,9.76,9.26
00941中信上游半導體,2024/3/15,15,15.07,15.07
00942B台新美A公司債20+,2024/4/18,15,14.97,14.95
00943兆豐電子高息等權,2024/5/20,15,14.94,14.89
00944野村趨勢動能高息,2024/5/9,15,14.87,14.73
00945B凱基美國非投等債,2024/5/2,15,14.95,14.91
00946群益科技高息成長,2024/5/9,10,9.96,9.83
00947台新台灣IC設計,2024/6/12,15,14.95,14.95
00948B中信優息投資等級債,2024/6/12,10,9.94,9.89
00949復華日本龍頭,2024/7/1,15,14.98,14.98
00950B凱基A級公司債,2024/7/9,15,14.94,14.93
00951台新日本半導體,2024/7/26,10,9.12,8.48
00952凱基台灣AI50,2024/9/5,10,9.72,9.43
00953B群益優選非投等債,2024/8/21,10,9.96,9.93
00954中信日本半導體,2024/8/20,10,10,8.19
00955中信日本商社,2024/8/20,10,9.88,9.68
00956中信日經高股息,2024/8/20,10,9.92,9.69
00957B兆豐US優選投等債,2024/9/10,15,15.02,14.84
00958B永豐ES銀行債15+,2024/9/18,10,9.96,9.78
00959B大華投等美債15Y+,2024/8/28,10,10.01,9.98
00960野村全球航運龍頭,2024/9/20,15,15,14.78
00961FT台灣永續高息,2024/10/15,10,10,9.56
00962台新AI優息動能,2024/12/6,10,9.97,9.57
00963中信全球高股息,2024/11/14,10,9.98,9.98
00964中信亞太高股息,2024/11/14,10,9.98,9.97
00965元大航太防衛科技,2024/11/26,15,14.52,14.32
00966B統一ESG投等債15+,2024/12/16,15,14.81,14.4
00967B元大優息美債 ,2024/12/9,10,9.95,9.41
00968B元大優息投等債,2024/12/9,10,9.96,9.5
00969元大零息超長美債,2024/12/9,10,9.96,8.63
00970B新光BBB投等債20+,2024/12/17,10,9.91,9.64
00971野村美國研發龍頭,2025/1/9,15,14.79,14.6
00972野村日本動能高息,2025/1/9,15,14.63,14.3
00980B台新特選IG債10+,2025/1/22,10,9.87,9.87
009800中信NASDAQ   ,2025/2/11,10,9.98,8.83
009801中信美國創新科技,2025/2/11,10,10,8.3
009802富邦旗艦50  ,2025/3/19,10,9.91,7.63
009803保德信市值動能50,2025/3/13,10,9.89,7.49
009804聯邦台精彩50 ,2025/4/16,10,9.97,9.65
009805新光美國電力基建,2025/5/13,10,9.87,9.84
00981B第一金優選非投債,2025/3/10,10,9.92,9.19
00982BFT投資級債20+,2025/4/28,10,10.01,8.89
00983B大華優利美公債20,2025/5/13,15,14.88,14.34
00984B大華優利美A債15,2025/5/13,15,14.88,14.45
00980A主動野忖台灣優選,2025/5/5,10,9.82,9.82
009808華南永昌優選50,2025/5/16,15,14.89,14.51
00982A主動群益台灣強棒,2025/5/22,10,10,9.84
00981A主動統一台股增長,2025/5/27,10,9.88,9.88
009806台新標普500,2025/5/28,10,10.02,10
009807台新標普科技精選,2025/5/28,10,10.01,9.99
